column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12
A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,2012/1/6 15:00,2012,1,6,15,35,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 16:00,2012,1,6,16,29,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 17:00,2012,1,6,17,31,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 18:00,2012,1,6,18,34,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 19:00,2012,1,6,19,39,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 20:00,2012,1,6,20,39,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 21:00,2012,1,6,21,44,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 22:00,2012,1,6,22,41,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 23:00,2012,1,6,23,44,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 00:00,2012,1,7,0,46,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 01:00,2012,1,7,1,52,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 02:00,2012,1,7,2,52,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 03:00,2012,1,7,3,53,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 04:00,2012,1,7,4,43,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 05:00,2012,1,7,5,47,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 06:00,2012,1,7,6,56,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 07:00,2012,1,7,7,57,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 08:00,2012,1,7,8,65,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 09:00,2012,1,7,9,69,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 10:00,2012,1,7,10,57,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 11:00,2012,1,7,11,33,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 12:00,2012,1,7,12,27,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 13:00,2012,1,7,13,27,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 14:00,2012,1,7,14,22,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 15:00,2012,1,7,15,26,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 16:00,2012,1,7,16,27,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 17:00,2012,1,7,17,27,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 18:00,2012,1,7,18,37,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 19:00,2012,1,7,19,33,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 20:00,2012,1,7,20,43,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 21:00,2012,1,7,21,33,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 22:00,2012,1,7,22,32,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/7 23:00,2012,1,7,23,25,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 00:00,2012,1,8,0,26,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 01:00,2012,1,8,1,24,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 02:00,2012,1,8,2,15,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 03:00,2012,1,8,3,16,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 04:00,2012,1,8,4,15,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 05:00,2012,1,8,5,14,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 06:00,2012,1,8,6,16,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 07:00,2012,1,8,7,21,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 08:00,2012,1,8,8,26,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 09:00,2012,1,8,9,24,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 10:00,2012,1,8,10,22,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 11:00,2012,1,8,11,24,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 12:00,2012,1,8,12,26,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 13:00,2012,1,8,13,27,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 14:00,2012,1,8,14,26,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 15:00,2012,1,8,15,30,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 16:00,2012,1,8,16,27,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 17:00,2012,1,8,17,35,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 18:00,2012,1,8,18,42,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 19:00,2012,1,8,19,40,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 20:00,2012,1,8,20,37,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 21:00,2012,1,8,21,39,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 22:00,2012,1,8,22,44,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/8 23:00,2012,1,8,23,43,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 00:00,2012,1,9,0,43,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 01:00,2012,1,9,1,42,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 02:00,2012,1,9,2,32,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 03:00,2012,1,9,3,32,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 04:00,2012,1,9,4,36,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 05:00,2012,1,9,5,41,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 06:00,2012,1,9,6,44,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 07:00,2012,1,9,7,41,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 08:00,2012,1,9,8,52,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 09:00,2012,1,9,9,41,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 10:00,2012,1,9,10,38,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 11:00,2012,1,9,11,43,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 12:00,2012,1,9,12,48,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 13:00,2012,1,9,13,46,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 14:00,2012,1,9,14,49,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 15:00,2012,1,9,15,57,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 16:00,2012,1,9,16,54,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 17:00,2012,1,9,17,56,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 18:00,2012,1,9,18,56,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 19:00,2012,1,9,19,58,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 20:00,2012,1,9,20,56,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 21:00,2012,1,9,21,75,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 22:00,2012,1,9,22,75,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/9 23:00,2012,1,9,23,77,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 00:00,2012,1,10,0,84,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 01:00,2012,1,10,1,93,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 02:00,2012,1,10,2,92,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 03:00,2012,1,10,3,93,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 04:00,2012,1,10,4,98,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 05:00,2012,1,10,5,105,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 06:00,2012,1,10,6,96,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 07:00,2012,1,10,7,83,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 08:00,2012,1,10,8,80,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 09:00,2012,1,10,9,75,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 10:00,2012,1,10,10,86,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 12:00,2012,1,10,12,87,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 13:00,2012,1,10,13,98,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 14:00,2012,1,10,14,85,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 15:00,2012,1,10,15,80,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 16:00,2012,1,10,16,88,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 17:00,2012,1,10,17,89,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 18:00,2012,1,10,18,91,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 19:00,2012,1,10,19,94,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 20:00,2012,1,10,20,90,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 21:00,2012,1,10,21,83,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 22:00,2012,1,10,22,85,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/10 23:00,2012,1,10,23,93,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/11 00:00,2012,1,11,0,104,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/11 01:00,2012,1,11,1,108,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/11 02:00,2012,1,11,2,118,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/11 03:00,2012,1,11,3,129,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/11 04:00,2012,1,11,4,169,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/11 05:00,2012,1,11,5,210,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/11 06:00,2012,1,11,6,249,"电/m尝,1 Hr""",Valid,
